OriginalId,Deadline,Address
2033483,13/03/2026,"-Hà Nội:The Sun Building, 3 Me Tri, Tu Liem Ward, Hanoi, Phường Từ Liêm"
2011528,31/03/2026,"-Hà Nội:Tòa nhà công ty TNHH Thị giác Meta, số 11 đường Nguyễn Khả Trạc, Phường Phú Diễn"
2023206,20/03/2026,"-Hồ Chí Minh:Saigon Paragon Building, 03 Nguyen Luong Bang, Phường Tân Mỹ-Hà Nội:Epic Tower, 19 Duy Tan, Phường Cầu Giấy"
2034225,Không có deadline,Không có địa chỉ
2034622,31/03/2026,"-Hồ Chí Minh:15A  Nguyễn Trung Trực, Phường Bình Lợi Trung"
2039311,25/03/2026,"-Hà Nội:Số 55 Huỳnh Thúc Kháng, Phường Láng"
2035231,14/03/2026,"-Hồ Chí Minh:E Town 2, 364 Cộng Hòa, Phường Tân Bình"
2031159,Không có deadline,Không có địa chỉ
2036357,15/03/2026,"-Hồ Chí Minh:Căn B7-D1.TMDV.02, Lô B7, Lumière Boulevard, Số 8, Đường D1, Phường Long Bình"
2016503,26/02/2026,"-Hà Nội:Tòa Việt Á, số 9 Phố Duy Tân, Phường Cầu Giấy"
2033527,13/03/2026,"-Hà Nội:The Sun Building, No 3 Me Tri Street, Tu Liem Ward, Phường Từ Liêm"
2036169,15/03/2026,"-Hồ Chí Minh:Tầng 7, QTSC Building 1, Đường số 14, CVPM Quang Trung, Phường Trung Mỹ Tây-Hồ Chí Minh:Tầng 6, Tòa Nhà 3 Bees Tower, 281 Nguyễn Văn Trỗi, Phường Phú Nhuận"
2034169,12/03/2026,"-Hà Nội:49 Thái Hà, Phường Đống Đa"
2032352,12/03/2026,"-Hà Nội:49 Thái Hà, Phường Đống Đa"
2036537,15/03/2026,"-Hồ Chí Minh:54-56 Nguyễn Trãi, Phường Bến Thành"
2036499,15/03/2026,"-Hồ Chí Minh:Căn B7-D1.TMDV.02, Lô B7, Lumière Boulevard, Số 8, Đường D1, Phường Long Bình"
2034946,14/03/2026,"-Hồ Chí Minh:Tầng 1, 168 Cao Đức Lân (An Phú, Thủ Đức cũ), Phường Bình Trưng"
2033464,13/03/2026,"-Hà Nội:Việt Á Tower, 9 Duy Tân, Phường Cầu Giấy"
2034145,12/03/2026,"-Hà Nội:49 Thái Hà, Phường Đống Đa"
2034123,12/03/2026,"-Hà Nội:49 Thái Hà, Phường Đống Đa"
2035278,14/03/2026,"-Hà Nội:PVI, Phường Cầu Giấy"
1750989,Không có deadline,Không có địa chỉ
2034157,12/03/2026,"-Hà Nội:49 Thái Hà, Phường Đống Đa"
